Component_ID,Lot_ID,True_Class,Anomaly_Score,IF_Prediction,Predicted_Anomaly
C35-041,L35,NORMAL,-0.10017911047344252,1,0
C27-052,L27,NORMAL,-0.1305342410786346,1,0
C45-064,L45,NORMAL,-0.09238478805726574,1,0
C18-040,L18,NORMAL,-0.13409388618728585,1,0
C32-091,L32,NORMAL,-0.13756085699269105,1,0
C32-072,L32,NORMAL,-0.13084010786051664,1,0
C04-027,L04,NORMAL,-0.11358506291551468,1,0
C31-023,L31,NORMAL,-0.08562982671868463,1,0
C30-060,L30,NORMAL,-0.10617844405382598,1,0
C16-081,L16,LATENT_DEFECT,0.04480452549298819,-1,1
C04-033,L04,NORMAL,-0.09894323244224468,1,0
C04-071,L04,NORMAL,-0.10630191157298075,1,0
C08-023,L08,NORMAL,-0.0639271536561421,1,0
C42-088,L42,NORMAL,-0.08199129589209725,1,0
C47-058,L47,NORMAL,-0.11685522114944741,1,0
C21-072,L21,NORMAL,-0.08361637176617676,1,0
C04-052,L04,NORMAL,-0.07093687988578978,1,0
C26-021,L26,NORMAL,-0.09677730459376588,1,0
C10-031,L10,NORMAL,-0.11921554542814372,1,0
C39-085,L39,NORMAL,-0.10437147013047704,1,0
C29-018,L29,NORMAL,-0.08331324814227031,1,0
C46-010,L46,NORMAL,-0.09342433836348923,1,0
C21-081,L21,NORMAL,-0.08661850938437404,1,0
C11-055,L11,NORMAL,-0.1127126867280629,1,0
C05-045,L05,NORMAL,-0.07167562145938577,1,0
C30-023,L30,NORMAL,-0.11439511692009924,1,0
C46-024,L46,NORMAL,-0.052394833876859004,1,0
C05-097,L05,NORMAL,-0.0672505090579687,1,0
C28-078,L28,LATENT_DEFECT,-0.017685473188123635,1,0
C17-091,L17,NORMAL,-0.1061808626940341,1,0
C42-076,L42,NORMAL,-0.09799300459090365,1,0
C42-089,L42,LATENT_DEFECT,-0.004825833636307453,1,0
C17-047,L17,NORMAL,-0.0997182274359984,1,0
C10-015,L10,NORMAL,-0.1291715374014804,1,0
C26-033,L26,OBVIOUS_FAILURE,0.09702316365883368,-1,1
C19-006,L19,NORMAL,-0.09271616712725628,1,0
C35-003,L35,NORMAL,-0.08178278157863611,1,0
C47-047,L47,NORMAL,-0.09016630338307657,1,0
C40-027,L40,NORMAL,-0.11485059074787485,1,0
C50-099,L50,NORMAL,-0.08897748594424254,1,0
C30-009,L30,LATENT_DEFECT,0.03384824526031438,-1,1
C45-076,L45,NORMAL,-0.09803976043952306,1,0
C45-035,L45,NORMAL,-0.09561612354216892,1,0
C47-078,L47,NORMAL,-0.11128775404360003,1,0
C48-026,L48,NORMAL,-0.09058631553364815,1,0
C44-096,L44,NORMAL,-0.10386700355028672,1,0
C42-021,L42,NORMAL,-0.09219214221352401,1,0
C21-053,L21,NORMAL,-0.09813339279141015,1,0
C43-045,L43,NORMAL,-0.11248768717341823,1,0
C06-071,L06,NORMAL,-0.07843142513131368,1,0
C05-040,L05,NORMAL,-0.09373998039371512,1,0
C32-009,L32,NORMAL,-0.13667194986504805,1,0
C50-079,L50,LATENT_DEFECT,0.08631444180269354,-1,1
C16-077,L16,NORMAL,-0.1377791970460051,1,0
C42-054,L42,NORMAL,-0.07995707250693951,1,0
C48-014,L48,NORMAL,-0.12396230929041835,1,0
C41-023,L41,NORMAL,-0.1285180162677022,1,0
C06-092,L06,NORMAL,-0.0816844241572891,1,0
C24-043,L24,NORMAL,-0.11280586304183104,1,0
C29-055,L29,NORMAL,-0.08407553571802534,1,0
C11-100,L11,NORMAL,-0.09668937725251159,1,0
C06-030,L06,NORMAL,-0.0856766289408985,1,0
C39-040,L39,LATENT_DEFECT,-0.0002952196854524858,1,0
C26-008,L26,NORMAL,-0.10379560623917217,1,0
C22-052,L22,NORMAL,-0.08355697269050544,1,0
C10-011,L10,NORMAL,-0.09865812881551889,1,0
C06-004,L06,NORMAL,-0.10578553287159564,1,0
C46-068,L46,NORMAL,-0.10205230295162393,1,0
C45-070,L45,NORMAL,-0.06878755529056496,1,0
C16-003,L16,LATENT_DEFECT,0.0432359762557083,-1,1
C05-035,L05,NORMAL,-0.045292983458015856,1,0
C04-053,L04,LATENT_DEFECT,0.02507421746816707,-1,1
C11-007,L11,NORMAL,-0.10512357395797534,1,0
C24-011,L24,LATENT_DEFECT,0.0201508653504493,-1,1
C19-026,L19,NORMAL,-0.09950168302299345,1,0
C32-092,L32,NORMAL,-0.11692805394193717,1,0
C11-045,L11,NORMAL,-0.0828360596815862,1,0
C46-054,L46,NORMAL,-0.11171496136588072,1,0
C11-079,L11,NORMAL,-0.1025911518937554,1,0
C41-070,L41,NORMAL,-0.13020215326180362,1,0
C28-033,L28,NORMAL,-0.11903299974730286,1,0
C18-039,L18,NORMAL,-0.13447742799418194,1,0
C42-042,L42,NORMAL,-0.09468030558914792,1,0
C48-030,L48,NORMAL,-0.11558953757253587,1,0
C22-089,L22,NORMAL,-0.09511194637249776,1,0
C16-006,L16,NORMAL,-0.130762942369806,1,0
C18-070,L18,NORMAL,-0.12460792376526042,1,0
C32-024,L32,NORMAL,-0.1132113372305506,1,0
C29-007,L29,NORMAL,-0.05466254606279958,1,0
C16-092,L16,NORMAL,-0.11149802665212205,1,0
C04-077,L04,NORMAL,-0.05198484919108698,1,0
C31-052,L31,NORMAL,-0.11340582002662619,1,0
C06-012,L06,NORMAL,-0.07998137233515218,1,0
C04-018,L04,NORMAL,-0.08434560029905236,1,0
C45-011,L45,NORMAL,-0.09964688546219835,1,0
C32-094,L32,LATENT_DEFECT,0.01480708111161011,-1,1
C39-010,L39,OBVIOUS_FAILURE,0.16231462733632984,-1,1
C48-016,L48,NORMAL,-0.09152390149893186,1,0
C46-069,L46,NORMAL,-0.0674309957164429,1,0
C11-095,L11,NORMAL,-0.09288013029667286,1,0
C10-003,L10,NORMAL,-0.10779083990116017,1,0
C24-035,L24,NORMAL,-0.09856425684008174,1,0
C45-051,L45,NORMAL,-0.1194614375938492,1,0
C32-100,L32,LATENT_DEFECT,-0.015046984992853285,1,0
C27-084,L27,NORMAL,-0.13060994077098548,1,0
C40-035,L40,NORMAL,-0.14145261614940857,1,0
C42-023,L42,NORMAL,-0.09836490000744924,1,0
C38-057,L38,NORMAL,-0.12866242083870533,1,0
C19-070,L19,NORMAL,-0.07613479629437009,1,0
C26-100,L26,NORMAL,-0.11601069189208468,1,0
C08-059,L08,NORMAL,-0.08882208514594364,1,0
C05-093,L05,NORMAL,-0.056538470107706296,1,0
C38-093,L38,NORMAL,-0.11936470421738404,1,0
C33-012,L33,NORMAL,-0.1190589063692104,1,0
C19-027,L19,NORMAL,-0.08219711414273329,1,0
C43-024,L43,NORMAL,-0.11655910698521105,1,0
C22-064,L22,NORMAL,-0.08342126606232542,1,0
C05-084,L05,NORMAL,-0.06613099634279807,1,0
C30-062,L30,NORMAL,-0.10315378519808116,1,0
C04-031,L04,OBVIOUS_FAILURE,0.18835255046244415,-1,1
C30-072,L30,NORMAL,-0.1266564181074653,1,0
C41-063,L41,NORMAL,-0.11759268512848042,1,0
C44-093,L44,NORMAL,-0.07815487915343516,1,0
C08-016,L08,NORMAL,-0.06395718622575836,1,0
C41-057,L41,NORMAL,-0.12206062499036763,1,0
C21-056,L21,NORMAL,-0.08605692983261165,1,0
C18-043,L18,NORMAL,-0.11577245516101031,1,0
C26-047,L26,OBVIOUS_FAILURE,0.14829010148753696,-1,1
C39-062,L39,NORMAL,-0.10580465833469493,1,0
C39-100,L39,NORMAL,-0.07232133136167507,1,0
C27-007,L27,NORMAL,-0.12395997497774108,1,0
C29-022,L29,NORMAL,-0.07119986232319275,1,0
C16-080,L16,NORMAL,-0.09165076429575181,1,0
C10-064,L10,LATENT_DEFECT,0.014992980357259711,-1,1
C21-048,L21,NORMAL,-0.08371564823072686,1,0
C30-001,L30,NORMAL,-0.09329471986209248,1,0
C46-051,L46,OBVIOUS_FAILURE,0.12804830104375287,-1,1
C19-050,L19,NORMAL,-0.10946709109972913,1,0
C41-001,L41,LATENT_DEFECT,0.019960904393360623,-1,1
C18-041,L18,NORMAL,-0.12528944340599862,1,0
C48-018,L48,NORMAL,-0.11831739989438178,1,0
C50-022,L50,LATENT_DEFECT,0.06717854285647717,-1,1
C21-045,L21,NORMAL,-0.10069597490724552,1,0
C04-034,L04,NORMAL,-0.0889486332649782,1,0
C05-067,L05,NORMAL,-0.09565070050410501,1,0
C26-075,L26,NORMAL,-0.07858611349373579,1,0
C18-018,L18,NORMAL,-0.14068152177553428,1,0
C21-092,L21,NORMAL,-0.07339190716205712,1,0
C27-053,L27,NORMAL,-0.10002175350974357,1,0
C28-001,L28,NORMAL,-0.1057992139598386,1,0
C43-093,L43,NORMAL,-0.1049217928703347,1,0
C38-035,L38,NORMAL,-0.10299459520839671,1,0
C41-012,L41,NORMAL,-0.13091701229686975,1,0
C47-082,L47,NORMAL,-0.10253873530642199,1,0
C22-075,L22,NORMAL,-0.0975172350492951,1,0
C33-049,L33,NORMAL,-0.07820329870333986,1,0
C50-060,L50,NORMAL,-0.09158136251460292,1,0
C39-079,L39,NORMAL,-0.09869231277095891,1,0
C28-022,L28,NORMAL,-0.1183155160279209,1,0
C24-090,L24,NORMAL,-0.0915678026100385,1,0
C24-005,L24,NORMAL,-0.09411982826217818,1,0
C21-012,L21,NORMAL,-0.0862317431749699,1,0
C05-095,L05,NORMAL,-0.09865731086560675,1,0
C28-057,L28,NORMAL,-0.09988314503523033,1,0
C25-096,L25,NORMAL,-0.058558207269797435,1,0
C06-090,L06,NORMAL,-0.104795191482776,1,0
C43-005,L43,NORMAL,-0.12201913381505614,1,0
C44-069,L44,NORMAL,-0.12089768401084067,1,0
C50-041,L50,NORMAL,-0.0914379844624309,1,0
C46-008,L46,LATENT_DEFECT,0.013141781271894581,-1,1
C39-064,L39,NORMAL,-0.07820161175500046,1,0
C38-095,L38,NORMAL,-0.11512638689336341,1,0
C10-033,L10,NORMAL,-0.1323341964925101,1,0
C46-070,L46,NORMAL,-0.07881086714063673,1,0
C47-022,L47,NORMAL,-0.09545242698827539,1,0
C50-063,L50,NORMAL,-0.09599609512499202,1,0
C50-036,L50,NORMAL,-0.07431863212226825,1,0
C25-035,L25,NORMAL,-0.08094070564246147,1,0
C42-071,L42,NORMAL,-0.0835356655110398,1,0
C43-056,L43,NORMAL,-0.13326194389926055,1,0
C40-013,L40,NORMAL,-0.12363523388575132,1,0
C25-023,L25,NORMAL,-0.08043037614088572,1,0
C18-082,L18,NORMAL,-0.10990298499492085,1,0
C06-080,L06,NORMAL,-0.1072716044268211,1,0
C19-100,L19,NORMAL,-0.11319862328672126,1,0
C43-061,L43,NORMAL,-0.11003535835924416,1,0
C31-066,L31,OBVIOUS_FAILURE,0.22293160525251143,-1,1
C48-078,L48,NORMAL,-0.1243453227011389,1,0
C22-015,L22,LATENT_DEFECT,0.0633949027094941,-1,1
C29-081,L29,NORMAL,-0.1036091744508334,1,0
C30-006,L30,NORMAL,-0.12853274336483428,1,0
C39-048,L39,NORMAL,-0.11735590728047085,1,0
C27-088,L27,NORMAL,-0.13959169406147526,1,0
C19-008,L19,NORMAL,-0.11779226763612022,1,0
C48-050,L48,NORMAL,-0.10287469426589502,1,0
C19-065,L19,NORMAL,-0.12374842005124059,1,0
C29-066,L29,NORMAL,-0.07481514610700357,1,0
C26-012,L26,NORMAL,-0.09441515151158114,1,0
C30-014,L30,NORMAL,-0.11350572940729392,1,0
C04-081,L04,NORMAL,-0.08588683036181866,1,0
C17-043,L17,NORMAL,-0.09447530905480267,1,0
C11-068,L11,NORMAL,-0.1077562475769791,1,0
C04-094,L04,NORMAL,-0.08189551779040549,1,0
C19-079,L19,NORMAL,-0.1312225133330711,1,0
C42-055,L42,NORMAL,-0.04807470443399231,1,0
C29-057,L29,NORMAL,-0.09304560511404447,1,0
C29-021,L29,NORMAL,-0.08306811298348904,1,0
C32-017,L32,NORMAL,-0.12032414113400886,1,0
C18-006,L18,NORMAL,-0.11822780501823243,1,0
C45-048,L45,NORMAL,-0.11781228212001843,1,0
C27-094,L27,NORMAL,-0.12646424687178343,1,0
C24-096,L24,NORMAL,-0.084897838621317,1,0
C46-097,L46,NORMAL,-0.11564584368143327,1,0
C29-053,L29,NORMAL,-0.10780743567825729,1,0
C06-099,L06,LATENT_DEFECT,-0.004757912659841934,1,0
C16-058,L16,NORMAL,-0.11675867807598722,1,0
C27-099,L27,NORMAL,-0.13824619318915587,1,0
C44-074,L44,NORMAL,-0.12718031267235186,1,0
C25-074,L25,NORMAL,-0.07478475539185325,1,0
C17-099,L17,NORMAL,-0.09310097132148687,1,0
C30-036,L30,NORMAL,-0.10237328512564242,1,0
C21-062,L21,NORMAL,-0.10003123811224462,1,0
C06-058,L06,NORMAL,-0.08865670779865792,1,0
C06-100,L06,NORMAL,-0.10028037865103745,1,0
C42-012,L42,NORMAL,-0.10247122900732508,1,0
C47-024,L47,NORMAL,-0.10410834137638048,1,0
C35-060,L35,NORMAL,-0.05803018493623957,1,0
C17-095,L17,NORMAL,-0.11572747729450239,1,0
C35-083,L35,NORMAL,-0.09156990664235509,1,0
C06-039,L06,NORMAL,-0.07415167200363887,1,0
C06-096,L06,NORMAL,-0.08381463095975616,1,0
C48-056,L48,NORMAL,-0.12314774616751945,1,0
C11-039,L11,NORMAL,-0.06470978986292203,1,0
C10-016,L10,NORMAL,-0.12642802447588775,1,0
C19-098,L19,NORMAL,-0.11778526146390667,1,0
C05-075,L05,NORMAL,-0.08493598341709957,1,0
C08-022,L08,NORMAL,-0.06306905857403045,1,0
C10-044,L10,LATENT_DEFECT,0.008448705096087417,-1,1
C46-084,L46,LATENT_DEFECT,0.012965638497686616,-1,1
C40-052,L40,NORMAL,-0.13091974949975088,1,0
C31-011,L31,NORMAL,-0.11605235209985926,1,0
C24-037,L24,NORMAL,-0.08630157479576672,1,0
C29-050,L29,NORMAL,-0.07200727210303287,1,0
C05-003,L05,NORMAL,-0.08879756701578323,1,0
C47-073,L47,NORMAL,-0.11035548501463521,1,0
C06-040,L06,LATENT_DEFECT,-0.021121166128688973,1,0
C17-006,L17,NORMAL,-0.09358504157773812,1,0
C10-058,L10,NORMAL,-0.07778505227746085,1,0
C35-091,L35,NORMAL,-0.11260733605224293,1,0
C17-077,L17,NORMAL,-0.09369859586629398,1,0
C46-065,L46,OBVIOUS_FAILURE,0.11581847606016693,-1,1
C44-058,L44,NORMAL,-0.09204015556294792,1,0
C11-002,L11,NORMAL,-0.11713258553936323,1,0
C04-045,L04,OBVIOUS_FAILURE,0.2113629293379694,-1,1
C10-062,L10,NORMAL,-0.12379210684934738,1,0
C35-059,L35,NORMAL,-0.10037496390121659,1,0
C42-058,L42,NORMAL,-0.06182218291388292,1,0
C41-095,L41,NORMAL,-0.10761909137564452,1,0
C19-066,L19,NORMAL,-0.10415250871539655,1,0
C10-079,L10,NORMAL,-0.1297775139439059,1,0
C30-086,L30,NORMAL,-0.10411573608318231,1,0
C08-094,L08,NORMAL,-0.07947226384277123,1,0
C04-059,L04,NORMAL,-0.11874574442073887,1,0
C11-028,L11,NORMAL,-0.1149130152999317,1,0
C48-021,L48,NORMAL,-0.10416225700570664,1,0
C22-014,L22,NORMAL,-0.09241106283214212,1,0
C19-013,L19,NORMAL,-0.11796186282524568,1,0
C40-084,L40,NORMAL,-0.13536109150327652,1,0
C28-003,L28,NORMAL,-0.11808868887963264,1,0
C19-030,L19,NORMAL,-0.11262524930974499,1,0
C41-068,L41,NORMAL,-0.10883044229168215,1,0
C46-012,L46,NORMAL,-0.08370575599884239,1,0
C46-081,L46,NORMAL,-0.09427706710663109,1,0
C17-019,L17,NORMAL,-0.10889246196866265,1,0
C41-059,L41,NORMAL,-0.09670196583389923,1,0
C16-045,L16,NORMAL,-0.1290235990957876,1,0
C48-009,L48,NORMAL,-0.12215987952534213,1,0
C33-032,L33,NORMAL,-0.1041420804904657,1,0
C11-012,L11,LATENT_DEFECT,-0.03166140659912048,1,0
C26-063,L26,NORMAL,-0.08045082014879307,1,0
C05-089,L05,NORMAL,-0.09906467804259839,1,0
C40-093,L40,LATENT_DEFECT,-0.011036293912080275,1,0
C45-020,L45,NORMAL,-0.11984569395971484,1,0
C25-046,L25,NORMAL,-0.0726112218079592,1,0
C33-056,L33,NORMAL,-0.11876911577521082,1,0
C25-061,L25,NORMAL,-0.11668204510587732,1,0
C10-012,L10,NORMAL,-0.12325087550974445,1,0
C06-041,L06,NORMAL,-0.11332213530163915,1,0
C31-055,L31,NORMAL,-0.08496439459074973,1,0
C19-022,L19,NORMAL,-0.08562570484323856,1,0
C18-072,L18,NORMAL,-0.13562787789466657,1,0
C26-025,L26,NORMAL,-0.060714867736532174,1,0
C18-003,L18,NORMAL,-0.11871953904594246,1,0
C47-066,L47,NORMAL,-0.1048827778424819,1,0
C32-093,L32,NORMAL,-0.08791994031549683,1,0
C33-080,L33,NORMAL,-0.11743615772843402,1,0
C18-058,L18,NORMAL,-0.12661959281026997,1,0
C05-053,L05,NORMAL,-0.06512978228158217,1,0
C24-072,L24,NORMAL,-0.11016260083037949,1,0
C22-093,L22,NORMAL,-0.09121552301765362,1,0
C21-054,L21,NORMAL,-0.06826922639170036,1,0
C28-085,L28,LATENT_DEFECT,0.014149149507410086,-1,1
C06-057,L06,NORMAL,-0.11000502589488786,1,0
C27-047,L27,NORMAL,-0.12738369864556615,1,0
C41-042,L41,NORMAL,-0.11136383199459926,1,0
C38-015,L38,NORMAL,-0.09375969716539867,1,0
C10-096,L10,NORMAL,-0.10061894275732736,1,0
C38-039,L38,NORMAL,-0.12056324976980004,1,0
C27-085,L27,NORMAL,-0.1387795802563831,1,0
C35-022,L35,NORMAL,-0.10099889272666568,1,0
C24-023,L24,NORMAL,-0.077270729526486,1,0
C31-064,L31,NORMAL,-0.09651875180618935,1,0
C46-038,L46,NORMAL,-0.07408038148199075,1,0
C05-079,L05,NORMAL,-0.10323026759104847,1,0
C30-051,L30,NORMAL,-0.11871172980890282,1,0
C48-094,L48,NORMAL,-0.12811267653822506,1,0
C32-044,L32,NORMAL,-0.11247389990337248,1,0
C31-088,L31,NORMAL,-0.11503768898818262,1,0
C44-083,L44,OBVIOUS_FAILURE,0.17467631196238753,-1,1
C21-026,L21,NORMAL,-0.11242566353858041,1,0
C28-042,L28,NORMAL,-0.118455669438225,1,0
C30-043,L30,NORMAL,-0.13217131495077328,1,0
C18-098,L18,NORMAL,-0.12426804783225548,1,0
C26-026,L26,NORMAL,-0.1033323325700628,1,0
C10-080,L10,NORMAL,-0.11834135570549842,1,0
C04-015,L04,NORMAL,-0.0817631853148143,1,0
C45-055,L45,NORMAL,-0.11262439540947333,1,0
C05-074,L05,NORMAL,-0.06502188814502408,1,0
C17-082,L17,NORMAL,-0.11712679687773137,1,0
C08-032,L08,NORMAL,-0.07435967973014312,1,0
C21-018,L21,NORMAL,-0.10783276680692905,1,0
C32-030,L32,NORMAL,-0.11271079341804113,1,0
C50-080,L50,NORMAL,-0.11120292392192987,1,0
C21-090,L21,NORMAL,-0.10326214168035663,1,0
C31-079,L31,NORMAL,-0.09857642499113384,1,0
C08-088,L08,NORMAL,-0.09327577676768745,1,0
C38-059,L38,NORMAL,-0.10632452909275741,1,0
C10-039,L10,NORMAL,-0.08160796596490116,1,0
C25-092,L25,NORMAL,-0.10905529363667776,1,0
C44-065,L44,NORMAL,-0.10731108276072793,1,0
C27-012,L27,NORMAL,-0.13647853679369765,1,0
C25-098,L25,NORMAL,-0.0766830519492761,1,0
C08-025,L08,NORMAL,-0.05005712792492317,1,0
C19-028,L19,NORMAL,-0.09253552401963155,1,0
C31-051,L31,LATENT_DEFECT,-0.0012350560601295801,1,0
C39-075,L39,NORMAL,-0.12717122371171846,1,0
C04-064,L04,NORMAL,-0.09570007869677055,1,0
C06-067,L06,NORMAL,-0.10558017161609085,1,0
C32-087,L32,NORMAL,-0.12110397061976885,1,0
C32-097,L32,NORMAL,-0.11506937510317733,1,0
C05-058,L05,NORMAL,-0.0758517365350232,1,0
C10-051,L10,LATENT_DEFECT,0.06058997982468117,-1,1
C04-062,L04,NORMAL,-0.10820819988527686,1,0
C39-095,L39,NORMAL,-0.07986713367267045,1,0
C35-053,L35,NORMAL,-0.08767352254914562,1,0
C06-055,L06,NORMAL,-0.09619834878132588,1,0
C38-082,L38,NORMAL,-0.12393067419004361,1,0
C43-002,L43,NORMAL,-0.12744800830778785,1,0
C39-021,L39,NORMAL,-0.08485244824389399,1,0
C10-040,L10,NORMAL,-0.1340410468216719,1,0
C05-025,L05,NORMAL,-0.07926920163717521,1,0
C24-001,L24,NORMAL,-0.11672540040837731,1,0
C25-057,L25,NORMAL,-0.1039454137477534,1,0
C06-064,L06,NORMAL,-0.12301890959124145,1,0
C28-098,L28,NORMAL,-0.12885702331164156,1,0
C21-071,L21,NORMAL,-0.09128906686231775,1,0
C29-094,L29,NORMAL,-0.08632874619093828,1,0
C35-098,L35,NORMAL,-0.07528455855536664,1,0
C43-059,L43,NORMAL,-0.13200418409711856,1,0
C10-087,L10,NORMAL,-0.0955036022303003,1,0
C28-058,L28,NORMAL,-0.1245239186297381,1,0
C16-079,L16,NORMAL,-0.11978816575506723,1,0
C38-014,L38,NORMAL,-0.09364801574990683,1,0
C04-089,L04,NORMAL,-0.0373148929549979,1,0
C21-075,L21,NORMAL,-0.09248032746181067,1,0
C44-094,L44,NORMAL,-0.14111602553910202,1,0
C24-027,L24,NORMAL,-0.07749189655777272,1,0
C43-035,L43,LATENT_DEFECT,0.024089567915684618,-1,1
C40-017,L40,NORMAL,-0.12214998755278605,1,0
C30-027,L30,NORMAL,-0.10901720936245513,1,0
C18-068,L18,LATENT_DEFECT,-0.011109183958876556,1,0
C47-055,L47,NORMAL,-0.0594632566876796,1,0
C45-016,L45,NORMAL,-0.0794115344075928,1,0
C46-057,L46,NORMAL,-0.09654473884532883,1,0
C46-031,L46,NORMAL,-0.0919690572748248,1,0
C05-021,L05,NORMAL,-0.06841898142227881,1,0
C26-088,L26,NORMAL,-0.0844977779192208,1,0
C39-041,L39,NORMAL,-0.07839450672743165,1,0
C39-001,L39,NORMAL,-0.10558443336660545,1,0
C47-002,L47,NORMAL,-0.10148490394840215,1,0
C38-040,L38,NORMAL,-0.09705523071868372,1,0
C29-084,L29,NORMAL,-0.08596764117579725,1,0
C43-018,L43,NORMAL,-0.10075584628057888,1,0
C44-043,L44,NORMAL,-0.13067974725363563,1,0
C06-084,L06,OBVIOUS_FAILURE,0.11846123596538949,-1,1
C21-068,L21,NORMAL,-0.11046951080673367,1,0
C06-075,L06,OBVIOUS_FAILURE,0.20026205247172035,-1,1
C48-084,L48,NORMAL,-0.10881085683802888,1,0
C16-022,L16,NORMAL,-0.1342391195290853,1,0
C24-022,L24,NORMAL,-0.10989316355963535,1,0
C05-010,L05,NORMAL,-0.06607056741079603,1,0
C22-024,L22,NORMAL,-0.08670892126032603,1,0
C39-047,L39,NORMAL,-0.07477450961043491,1,0
C05-050,L05,NORMAL,-0.09741965040353173,1,0
C06-015,L06,NORMAL,-0.0874981281726282,1,0
C11-052,L11,NORMAL,-0.08429936980357194,1,0
C25-031,L25,NORMAL,-0.0708097629178207,1,0
C43-085,L43,NORMAL,-0.13490021023976817,1,0
C29-040,L29,LATENT_DEFECT,0.08206844518578182,-1,1
C45-069,L45,NORMAL,-0.1285116014646165,1,0
C45-044,L45,OBVIOUS_FAILURE,0.16858647065819843,-1,1
C08-069,L08,NORMAL,-0.06213644032603172,1,0
C30-030,L30,NORMAL,-0.1168012859109488,1,0
C40-085,L40,NORMAL,-0.11466626612353703,1,0
C18-080,L18,NORMAL,-0.12767367251624995,1,0
C35-071,L35,NORMAL,-0.1060364357978929,1,0
C48-006,L48,NORMAL,-0.09723813650869245,1,0
C45-071,L45,NORMAL,-0.09930858603933701,1,0
C26-007,L26,NORMAL,-0.04918246900868223,1,0
C39-060,L39,OBVIOUS_FAILURE,0.21494851036170737,-1,1
C35-075,L35,NORMAL,-0.106638258485316,1,0
C18-013,L18,NORMAL,-0.12205038214672737,1,0
C04-046,L04,NORMAL,-0.09022677899113407,1,0
C47-089,L47,NORMAL,-0.08007971103760825,1,0
C40-037,L40,NORMAL,-0.12206411571009551,1,0
C43-023,L43,NORMAL,-0.10920865170102839,1,0
C10-043,L10,NORMAL,-0.13161520552262346,1,0
C44-047,L44,NORMAL,-0.1303048797674563,1,0
C06-019,L06,NORMAL,-0.10358698225018392,1,0
C28-092,L28,NORMAL,-0.13636039355523977,1,0
C48-091,L48,NORMAL,-0.09145468461471523,1,0
C29-027,L29,NORMAL,-0.08654547386854522,1,0
C40-051,L40,LATENT_DEFECT,0.027072846544016094,-1,1
C45-021,L45,NORMAL,-0.10353336137721764,1,0
C48-040,L48,NORMAL,-0.11084185930250334,1,0
C08-033,L08,LATENT_DEFECT,0.06034637533896792,-1,1
C06-052,L06,NORMAL,-0.08225787888258951,1,0
C08-055,L08,LATENT_DEFECT,0.0767664426944531,-1,1
C42-063,L42,NORMAL,-0.05900040795046585,1,0
C19-033,L19,NORMAL,-0.1196303564189905,1,0
C43-029,L43,NORMAL,-0.11231484889902216,1,0
C24-007,L24,NORMAL,-0.0674039806420706,1,0
C16-071,L16,LATENT_DEFECT,-0.02552722409995878,1,0
C42-031,L42,NORMAL,-0.09689876081619153,1,0
C45-094,L45,NORMAL,-0.10703116608581764,1,0
C29-048,L29,LATENT_DEFECT,0.03087561432756525,-1,1
C30-016,L30,NORMAL,-0.1276817813674589,1,0
